filepath,filename,species,split,source_wav,ogg_quality
train/Asian Koel/xc787552_4886.ogg,xc787552_4886.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc787552_4886.wav,2
train/Asian Koel/xc1071405_1581.ogg,xc1071405_1581.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc1071405_1581.wav,2
train/Asian Koel/xc20267_66.ogg,xc20267_66.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc20267_66.wav,2
train/Asian Koel/xc786218_17583.ogg,xc786218_17583.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc786218_17583.wav,2
train/Asian Koel/xc179229_82770.ogg,xc179229_82770.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc179229_82770.wav,2
train/Asian Koel/xc78435_19209.ogg,xc78435_19209.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78435_19209.wav,2
train/Asian Koel/xc518843_41917.ogg,xc518843_41917.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc518843_41917.wav,2
train/Asian Koel/xc24590_14244.ogg,xc24590_14244.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc24590_14244.wav,2
train/Asian Koel/xc196584_55519.ogg,xc196584_55519.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc196584_55519.wav,2
train/Asian Koel/xc594951_762.ogg,xc594951_762.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594951_762.wav,2
train/Asian Koel/xc594949_76889.ogg,xc594949_76889.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594949_76889.wav,2
train/Asian Koel/xc594949_108562.ogg,xc594949_108562.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594949_108562.wav,2
train/Asian Koel/xc786218_5725.ogg,xc786218_5725.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc786218_5725.wav,2
train/Asian Koel/xc426538_4983.ogg,xc426538_4983.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc426538_4983.wav,2
train/Asian Koel/xc78434_39819.ogg,xc78434_39819.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78434_39819.wav,2
train/Asian Koel/xc578352_19339.ogg,xc578352_19339.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc578352_19339.wav,2
train/Asian Koel/xc301717_15000.ogg,xc301717_15000.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc301717_15000.wav,2
train/Asian Koel/xc38335_13141.ogg,xc38335_13141.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc38335_13141.wav,2
train/Asian Koel/xc78433_9562.ogg,xc78433_9562.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78433_9562.wav,2
train/Asian Koel/xc566244_24753.ogg,xc566244_24753.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc566244_24753.wav,2
train/Asian Koel/xc179229_29314.ogg,xc179229_29314.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc179229_29314.wav,2
train/Asian Koel/xc743612_17203.ogg,xc743612_17203.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc743612_17203.wav,2
train/Asian Koel/xc594950_3330.ogg,xc594950_3330.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594950_3330.wav,2
train/Asian Koel/xc937630_13872.ogg,xc937630_13872.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc937630_13872.wav,2
train/Asian Koel/xc194196_25316.ogg,xc194196_25316.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc194196_25316.wav,2
train/Asian Koel/xc753727_8939.ogg,xc753727_8939.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc753727_8939.wav,2
train/Asian Koel/xc812737_4293.ogg,xc812737_4293.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812737_4293.wav,2
train/Asian Koel/xc301717_9000.ogg,xc301717_9000.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc301717_9000.wav,2
train/Asian Koel/xc166251_25002.ogg,xc166251_25002.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc166251_25002.wav,2
train/Asian Koel/xc735667_20906.ogg,xc735667_20906.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc735667_20906.wav,2
train/Asian Koel/xc194196_1534.ogg,xc194196_1534.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc194196_1534.wav,2
train/Asian Koel/xc858894_4983.ogg,xc858894_4983.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc858894_4983.wav,2
train/Asian Koel/xc963858_45337.ogg,xc963858_45337.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc963858_45337.wav,2
train/Asian Koel/xc954926_177.ogg,xc954926_177.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc954926_177.wav,2
train/Asian Koel/xc953307_2543.ogg,xc953307_2543.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc953307_2543.wav,2
train/Asian Koel/xc923018_9117.ogg,xc923018_9117.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc923018_9117.wav,2
train/Asian Koel/xc635320_10725.ogg,xc635320_10725.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc635320_10725.wav,2
train/Asian Koel/xc788672_33713.ogg,xc788672_33713.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc788672_33713.wav,2
train/Asian Koel/xc786033_5364.ogg,xc786033_5364.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc786033_5364.wav,2
train/Asian Koel/xc327430_11577.ogg,xc327430_11577.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc327430_11577.wav,2
train/Asian Koel/xc523554_13557.ogg,xc523554_13557.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc523554_13557.wav,2
train/Asian Koel/xc314339_375.ogg,xc314339_375.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc314339_375.wav,2
train/Asian Koel/xc29594_6602.ogg,xc29594_6602.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29594_6602.wav,2
train/Asian Koel/xc1041026_17925.ogg,xc1041026_17925.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc1041026_17925.wav,2
train/Asian Koel/xc190308_20680.ogg,xc190308_20680.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc190308_20680.wav,2
train/Asian Koel/xc923018_16264.ogg,xc923018_16264.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc923018_16264.wav,2
train/Asian Koel/xc937630_17816.ogg,xc937630_17816.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc937630_17816.wav,2
train/Asian Koel/xc182810_268.ogg,xc182810_268.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc182810_268.wav,2
train/Asian Koel/xc1006787_226.ogg,xc1006787_226.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc1006787_226.wav,2
train/Asian Koel/xc547505_960.ogg,xc547505_960.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc547505_960.wav,2
train/Asian Koel/xc812733_3571.ogg,xc812733_3571.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812733_3571.wav,2
train/Asian Koel/xc812734_1039.ogg,xc812734_1039.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812734_1039.wav,2
train/Asian Koel/xc566244_4930.ogg,xc566244_4930.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc566244_4930.wav,2
train/Asian Koel/xc594949_32382.ogg,xc594949_32382.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594949_32382.wav,2
train/Asian Koel/xc78435_100491.ogg,xc78435_100491.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78435_100491.wav,2
train/Asian Koel/xc162828_17482.ogg,xc162828_17482.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc162828_17482.wav,2
train/Asian Koel/xc808437_8040.ogg,xc808437_8040.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc808437_8040.wav,2
train/Asian Koel/xc788672_27700.ogg,xc788672_27700.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc788672_27700.wav,2
train/Asian Koel/xc314337_5340.ogg,xc314337_5340.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc314337_5340.wav,2
train/Asian Koel/xc893845_24400.ogg,xc893845_24400.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc893845_24400.wav,2
train/Asian Koel/xc29590_9541.ogg,xc29590_9541.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29590_9541.wav,2
train/Asian Koel/xc812732_50312.ogg,xc812732_50312.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812732_50312.wav,2
train/Asian Koel/xc893845_36468.ogg,xc893845_36468.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc893845_36468.wav,2
train/Asian Koel/xc787963_4535.ogg,xc787963_4535.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc787963_4535.wav,2
train/Asian Koel/xc194196_28799.ogg,xc194196_28799.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc194196_28799.wav,2
train/Asian Koel/xc78433_18935.ogg,xc78433_18935.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78433_18935.wav,2
train/Asian Koel/xc735667_13706.ogg,xc735667_13706.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc735667_13706.wav,2
train/Asian Koel/xc29590_96130.ogg,xc29590_96130.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29590_96130.wav,2
train/Asian Koel/xc24590_23830.ogg,xc24590_23830.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc24590_23830.wav,2
train/Asian Koel/xc189420_21350.ogg,xc189420_21350.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc189420_21350.wav,2
train/Asian Koel/xc29590_6541.ogg,xc29590_6541.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29590_6541.wav,2
train/Asian Koel/xc949668_6924.ogg,xc949668_6924.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc949668_6924.wav,2
train/Asian Koel/xc635320_37187.ogg,xc635320_37187.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc635320_37187.wav,2
train/Asian Koel/xc983831_4836.ogg,xc983831_4836.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc983831_4836.wav,2
train/Asian Koel/xc314337_9308.ogg,xc314337_9308.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc314337_9308.wav,2
train/Asian Koel/xc787963_29065.ogg,xc787963_29065.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc787963_29065.wav,2
train/Asian Koel/xc236515_10244.ogg,xc236515_10244.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc236515_10244.wav,2
train/Asian Koel/xc166251_18944.ogg,xc166251_18944.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc166251_18944.wav,2
train/Asian Koel/xc1071405_7346.ogg,xc1071405_7346.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc1071405_7346.wav,2
train/Asian Koel/xc309568_8036.ogg,xc309568_8036.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc309568_8036.wav,2
train/Asian Koel/xc594951_15060.ogg,xc594951_15060.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594951_15060.wav,2
train/Asian Koel/xc1029034_5560.ogg,xc1029034_5560.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc1029034_5560.wav,2
train/Asian Koel/xc78434_29438.ogg,xc78434_29438.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78434_29438.wav,2
train/Asian Koel/xc531611_12000.ogg,xc531611_12000.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc531611_12000.wav,2
train/Asian Koel/xc161197_7375.ogg,xc161197_7375.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc161197_7375.wav,2
train/Asian Koel/xc24590_3163.ogg,xc24590_3163.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc24590_3163.wav,2
train/Asian Koel/xc190308_24542.ogg,xc190308_24542.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc190308_24542.wav,2
train/Asian Koel/xc531612_0.ogg,xc531612_0.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc531612_0.wav,2
train/Asian Koel/xc179229_6751.ogg,xc179229_6751.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc179229_6751.wav,2
train/Asian Koel/xc531612_6440.ogg,xc531612_6440.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc531612_6440.wav,2
train/Asian Koel/xc29594_23886.ogg,xc29594_23886.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29594_23886.wav,2
train/Asian Koel/xc196584_52519.ogg,xc196584_52519.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc196584_52519.wav,2
train/Asian Koel/xc953305_4152.ogg,xc953305_4152.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc953305_4152.wav,2
train/Asian Koel/xc788672_36720.ogg,xc788672_36720.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc788672_36720.wav,2
train/Asian Koel/xc787552_31584.ogg,xc787552_31584.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc787552_31584.wav,2
train/Asian Koel/xc761690_1901.ogg,xc761690_1901.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc761690_1901.wav,2
train/Asian Koel/xc803097_429.ogg,xc803097_429.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc803097_429.wav,2
train/Asian Koel/xc787963_11767.ogg,xc787963_11767.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc787963_11767.wav,2
train/Asian Koel/xc78435_50993.ogg,xc78435_50993.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78435_50993.wav,2
train/Asian Koel/xc937630_7398.ogg,xc937630_7398.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc937630_7398.wav,2
train/Asian Koel/xc812737_28151.ogg,xc812737_28151.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812737_28151.wav,2
train/Asian Koel/xc551633_34590.ogg,xc551633_34590.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc551633_34590.wav,2
train/Asian Koel/xc788204_3828.ogg,xc788204_3828.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc788204_3828.wav,2
train/Asian Koel/xc161431_31311.ogg,xc161431_31311.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc161431_31311.wav,2
train/Asian Koel/xc812732_36486.ogg,xc812732_36486.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812732_36486.wav,2
train/Asian Koel/xc594950_10382.ogg,xc594950_10382.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594950_10382.wav,2
train/Asian Koel/xc29594_2282.ogg,xc29594_2282.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29594_2282.wav,2
train/Asian Koel/xc720533_404.ogg,xc720533_404.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc720533_404.wav,2
train/Asian Koel/xc963859_5423.ogg,xc963859_5423.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc963859_5423.wav,2
train/Asian Koel/xc423125_16602.ogg,xc423125_16602.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc423125_16602.wav,2
train/Asian Koel/xc162828_26597.ogg,xc162828_26597.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc162828_26597.wav,2
train/Asian Koel/xc29590_35263.ogg,xc29590_35263.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc29590_35263.wav,2
train/Asian Koel/xc35804_166.ogg,xc35804_166.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc35804_166.wav,2
train/Asian Koel/xc311271_1282.ogg,xc311271_1282.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc311271_1282.wav,2
train/Asian Koel/xc27611_11378.ogg,xc27611_11378.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc27611_11378.wav,2
